File name,Euler number,Trabecular thickness (plate model),Trabecular pattern factor,Bone perimeter / area ratio,Number of objects,Average object area-equivalent circle diameter,Average object area
im_lr_005000.tif,3,2.6766678,0.26086957,0.74719769,3,6.41210004,32.29166667
im_lr_004999.tif,4,2.21575565,0.32,0.9026266,4,5.19008421,21.15625
im_lr_004998.tif,4,2.0510554,0.42105263,0.97510774,4,4.22671768,14.03125
im_lr_004997.tif,4,2.02509295,0.32,0.98760899,4,4.94270005,19.1875
im_lr_004996.tif,4,1.96395927,0.36363636,1.01835106,4,4.52672055,16.09375
im_lr_004995.tif,4,2.22433893,0.30769231,0.89914355,4,5.31507313,22.1875
im_lr_004994.tif,4,2.73647874,0.27586207,0.73086627,4,6.28254931,31.0
im_lr_004993.tif,4,2.90597723,0.24242424,0.68823664,4,6.96437139,38.09375
im_lr_004992.tif,4,3.0903705,0.22857143,0.64717159,4,7.43147127,43.375
im_lr_004991.tif,4,3.09257128,0.23529412,0.64671104,4,7.33988748,42.3125
im_lr_004990.tif,5,3.37675198,0.25,0.59228513,5,7.37557859,42.725
im_lr_004989.tif,5,3.23335123,0.25,0.61855328,5,7.23395779,41.1
im_lr_004988.tif,5,3.53351948,0.2173913,0.56600792,5,8.19726887,52.775
im_lr_004987.tif,6,3.49824757,0.23076923,0.57171483,6,7.87342685,48.6875
im_lr_004986.tif,6,3.34295014,0.20338983,0.59827395,6,8.2163387,53.02083333
im_lr_004985.tif,7,3.65864872,0.21212121,0.54664991,7,8.43323918,55.85714286
im_lr_004984.tif,7,3.90238473,0.1971831,0.51250713,7,9.06222658,64.5
im_lr_004983.tif,7,4.1072833,0.18543046,0.48693987,7,9.66325405,73.33928571
im_lr_004982.tif,7,4.13052372,0.19444444,0.4842001,7,9.48514711,70.66071429
im_lr_004981.tif,7,4.1881567,0.18421053,0.47753705,7,9.81963131,75.73214286
im_lr_004980.tif,8,4.2188083,0.2,0.47406752,8,9.39316356,69.296875
im_lr_004979.tif,10,3.9669531,0.22727273,0.50416528,10,8.44966907,56.075
im_lr_004978.tif,9,4.11187264,0.20210526,0.48639639,9,9.23235149,66.94444444
im_lr_004977.tif,9,4.09453566,0.16990671,0.48845588,9,9.51161097,71.05555556
im_lr_004976.tif,10,3.98348948,0.15822002,0.50207237,10,9.24393255,67.1125
im_lr_004975.tif,10,4.0149535,0.15822002,0.49813777,10,9.27229746,67.525
im_lr_004974.tif,8,4.23918215,0.14284831,0.47178912,8,10.57008846,87.75
im_lr_004973.tif,10,4.19534302,0.16954824,0.47671906,10,9.93198035,77.475
im_lr_004972.tif,10,4.39103174,0.17380985,0.45547382,10,10.13815872,80.725
im_lr_004971.tif,11,4.30648995,0.18803419,0.46441534,11,9.81489411,75.65909091
im_lr_004970.tif,12,4.13633402,0.17191845,0.48351995,12,9.73329235,74.40625
im_lr_004969.tif,12,4.12653106,0.16635073,0.48466859,12,9.60296968,72.42708333
im_lr_004968.tif,14,4.0184673,0.1541501,0.4977022,14,8.94098732,62.78571429
im_lr_004967.tif,12,4.1622282,0.1832379,0.48051186,12,9.37372879,69.01041667
im_lr_004966.tif,15,4.06218784,0.20521447,0.49234552,15,8.74402851,60.05
im_lr_004965.tif,14,4.1870433,0.18272249,0.47766404,14,9.45693977,70.24107143
im_lr_004964.tif,14,4.25176527,0.17427734,0.47039285,14,9.73533608,74.4375
im_lr_004963.tif,14,4.20265629,0.17800599,0.4758895,14,9.64618063,73.08035714
im_lr_004962.tif,16,4.2882334,0.1722488,0.46639252,16,9.41062052,69.5546875
im_lr_004961.tif,16,4.28790436,0.17943925,0.46642831,16,9.662004,73.3203125
im_lr_004960.tif,15,4.259763,0.16086176,0.46950969,15,10.21635021,81.975
im_lr_004959.tif,15,4.21358259,0.15628158,0.47465546,15,10.49402736,86.49166667
im_lr_004958.tif,19,4.243486,0.13879455,0.47131062,19,9.46373869,70.34210526
im_lr_004957.tif,15,4.4223548,0.12100774,0.45224775,15,10.61116474,88.43333333
im_lr_004956.tif,15,4.43101055,0.17140715,0.45136431,15,10.14495917,80.83333333
im_lr_004955.tif,14,4.30596223,0.15381694,0.46447226,14,10.77091386,91.11607143
im_lr_004954.tif,15,4.12822719,0.14828057,0.48446946,15,10.33150111,83.83333333
im_lr_004953.tif,18,4.28246442,0.17523316,0.46702081,18,9.68251535,73.63194444
im_lr_004952.tif,19,4.35129453,0.15816835,0.45963333,19,9.92725622,77.40131579
im_lr_004951.tif,15,4.33896137,0.13036242,0.4609398,15,11.20831396,98.66666667
im_lr_004950.tif,16,4.53237852,0.12806994,0.44126941,16,11.25775602,99.5390625
im_lr_004949.tif,18,4.60635199,0.13840403,0.43418306,18,11.15969278,97.8125
im_lr_004948.tif,16,4.76827242,0.13351279,0.41943912,16,12.20773156,117.046875
im_lr_004947.tif,17,4.94438993,0.10049454,0.40449884,17,12.52180918,123.14705882
im_lr_004946.tif,15,5.3348957,0.07043899,0.37489018,15,13.91807409,152.14166667
im_lr_004945.tif,15,5.49218774,0.07387502,0.36415361,15,14.34344065,161.58333333
im_lr_004944.tif,18,5.20923308,0.09710305,0.38393367,18,13.05042041,133.76388889
im_lr_004943.tif,21,5.00073922,0.10581103,0.39994087,21,12.65884241,125.85714286
im_lr_004942.tif,21,5.07646026,0.08577885,0.39397531,21,13.21135576,137.08333333
im_lr_004941.tif,26,4.80683155,0.08809122,0.41607449,26,12.10304759,115.04807692
im_lr_004940.tif,20,5.23762701,0.09546771,0.38185232,20,13.97579708,153.40625
im_lr_004939.tif,18,5.27086473,0.07676145,0.37944438,18,15.30290217,183.92361111
im_lr_004938.tif,15,5.47081796,0.05789669,0.36557605,15,16.93132846,225.15
im_lr_004937.tif,19,5.49884744,0.08502644,0.36371258,19,15.52803074,189.375
im_lr_004936.tif,22,5.28305824,0.07020924,0.37856861,23,14.26013951,159.71195652
im_lr_004935.tif,25,5.28794703,0.07748878,0.37821861,25,13.94450226,152.72
im_lr_004934.tif,25,5.21553967,0.09262325,0.38346943,25,13.93079938,152.42
im_lr_004933.tif,25,5.35577806,0.0941362,0.37342847,25,14.0450348,154.93
im_lr_004932.tif,25,5.27008785,0.06700752,0.37950031,25,14.25112065,159.51
im_lr_004931.tif,21,5.44066495,0.07121627,0.36760213,21,15.98142014,200.5952381
im_lr_004930.tif,25,5.37363995,0.06968257,0.3721872,25,14.81553682,172.395
im_lr_004929.tif,20,5.53655339,0.04069004,0.36123557,21,16.3823291,210.78571429
im_lr_004928.tif,18,5.72377081,0.05064962,0.34942,20,17.13432712,230.58125
im_lr_004927.tif,15,5.75198749,0.03595038,0.3477059,18,18.1952963,260.02083333
im_lr_004926.tif,14,5.67290697,0.0291563,0.35255293,17,18.74629234,276.00735294
im_lr_004925.tif,24,5.39335347,0.03989544,0.3708268,25,15.32499267,184.455
im_lr_004924.tif,27,5.45188003,0.04393739,0.36684593,27,14.92152374,174.87037037
im_lr_004923.tif,22,5.45969691,0.03566954,0.3663207,23,16.49271467,213.63586957
im_lr_004922.tif,29,5.355626,0.05374178,0.37343907,29,14.47800222,164.62931034
im_lr_004921.tif,26,5.46117745,0.05124771,0.36622139,26,15.72876716,194.30288462
im_lr_004920.tif,26,5.50834927,0.05007294,0.36308518,26,15.92658944,199.22115385
im_lr_004919.tif,26,5.63686782,0.0427425,0.35480697,26,16.04662999,202.23557692
im_lr_004918.tif,27,5.84783453,0.04511338,0.34200694,27,16.11062504,203.85185185
im_lr_004917.tif,22,5.93376465,0.0525184,0.33705415,22,18.0770924,256.65340909
im_lr_004916.tif,19,5.92017108,0.02966584,0.33782808,19,20.06873559,316.32236842
im_lr_004915.tif,22,6.23517776,0.0263268,0.3207607,23,18.76024886,276.41847826
im_lr_004914.tif,17,6.45894763,0.00962834,0.30964797,20,20.76819331,338.75625
im_lr_004913.tif,15,6.54033871,0.00778913,0.30579456,17,22.6007466,401.17647059
im_lr_004912.tif,22,6.51469666,0.00213682,0.30699818,23,19.49997021,298.64673913
im_lr_004911.tif,16,6.63945951,-0.00261929,0.30122934,19,21.85307694,375.07236842
im_lr_004910.tif,14,6.9511606,-0.0045512,0.28772174,17,23.7145245,441.69117647
im_lr_004909.tif,11,7.04350048,-0.02320635,0.28394972,17,24.13789884,457.60294118
im_lr_004908.tif,9,7.35895589,-0.03854077,0.27177769,14,27.08613695,576.21428571
im_lr_004907.tif,5,7.64292247,-0.04859592,0.26168001,12,29.44908399,681.13541667
im_lr_004906.tif,3,7.87067819,-0.03787574,0.25410771,10,32.23295625,816.0
im_lr_004905.tif,-5,7.9187315,-0.06776632,0.2525657,6,41.78940223,1371.58333333
im_lr_004904.tif,-6,8.92636963,-0.0775617,0.22405525,5,47.1137152,1743.35
im_lr_004903.tif,-1,9.10645258,-0.06954654,0.21962449,8,37.77701134,1120.84375
im_lr_004902.tif,-2,9.86576323,-0.09138085,0.20272126,10,34.44584178,931.8875
im_lr_004901.tif,-5,10.19765999,-0.09132178,0.19612342,6,44.81372695,1577.29166667
im_lr_004900.tif,10,3.79910366,0.18518519,0.52643997,10,9.35857709,68.7875
im_lr_004899.tif,11,3.77545261,0.17741935,0.52973781,11,9.51017421,71.03409091
im_lr_004898.tif,11,3.81724506,0.13717714,0.52393807,11,9.68579396,73.68181818
im_lr_004897.tif,8,4.2729125,0.12240435,0.46806482,8,12.01637725,113.40625
im_lr_004896.tif,8,4.41145936,0.12240435,0.45336471,8,12.20121121,116.921875
im_lr_004895.tif,10,4.55958969,0.14119833,0.43863596,10,11.44345609,102.85
im_lr_004894.tif,11,4.62347322,0.112268,0.43257523,11,11.53362888,104.47727273
im_lr_004893.tif,10,4.76156399,0.11364993,0.42003006,10,12.28910597,118.6125
im_lr_004892.tif,9,5.04941831,0.11728965,0.39608523,9,13.41195189,141.27777778
im_lr_004891.tif,9,5.23556681,0.09679046,0.38200257,9,14.22894133,159.01388889
im_lr_004890.tif,8,5.28747744,0.07293126,0.3782522,8,15.43228687,187.046875
im_lr_004889.tif,6,6.05008923,0.06791202,0.33057364,6,18.7233888,275.33333333
im_lr_004888.tif,7,6.22375057,0.07183256,0.32134964,7,17.14987857,231.0
im_lr_004887.tif,7,6.73717477,0.09427609,0.29686034,7,17.88515304,251.23214286
im_lr_004886.tif,7,6.56157497,0.09210526,0.30480487,7,17.86607418,250.69642857
im_lr_004885.tif,7,6.50507252,0.05356744,0.30745238,7,17.88515304,251.23214286
im_lr_004884.tif,7,6.33706713,0.07775003,0.31560341,7,18.05343699,255.98214286
im_lr_004883.tif,10,5.93642161,0.09504225,0.33690329,10,15.04070597,177.675
im_lr_004882.tif,12,5.66415796,0.11837085,0.3530975,12,13.82600266,150.13541667
im_lr_004881.tif,12,5.54724211,0.11636364,0.36053952,12,13.79334882,149.42708333
im_lr_004880.tif,14,5.07494042,0.13548673,0.3940933,14,12.28882845,118.60714286
im_lr_004879.tif,13,5.1885014,0.13445051,0.38546776,13,12.65006616,125.68269231
im_lr_004878.tif,15,5.01984306,0.11197764,0.39841883,15,11.93008636,111.78333333
im_lr_004877.tif,14,5.12952163,0.12526972,0.38989991,14,12.4089648,120.9375
im_lr_004876.tif,15,5.00889481,0.11472185,0.39928968,15,12.40148083,120.79166667
im_lr_004875.tif,15,4.6960764,0.11257718,0.42588745,15,12.45228316,121.78333333
im_lr_004874.tif,17,4.5046279,0.11260853,0.44398784,17,12.03807529,113.81617647
im_lr_004873.tif,20,4.54976504,0.12012675,0.43958314,20,11.34427992,101.075
im_lr_004872.tif,25,4.45550819,0.13599561,0.44888258,25,10.24559585,82.445
im_lr_004871.tif,21,4.60415854,0.11935747,0.43438991,21,11.66067635,106.79166667
im_lr_004870.tif,22,4.56489089,0.12535774,0.43812657,22,11.43947266,102.77840909
im_lr_004869.tif,22,4.59965712,0.12004624,0.43481502,22,11.61114574,105.88636364
im_lr_004868.tif,18,4.77332228,0.09708415,0.41899538,18,13.12069346,135.20833333
im_lr_004867.tif,19,4.73054349,0.09557323,0.4227844,19,12.98120096,132.34868421
im_lr_004866.tif,19,5.02150031,0.11964545,0.39828734,19,13.08723991,134.51973684
im_lr_004865.tif,18,5.05202634,0.12004385,0.39588075,18,13.38093087,140.625
im_lr_004864.tif,17,5.01794993,0.11249974,0.39856914,17,13.79230239,149.40441176
im_lr_004863.tif,17,5.19739553,0.11888112,0.38480812,17,13.80214131,149.61764706
